"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","signal_umis","dataset"
"127",1259999678.50813,1037768122.38466,332112884.258635,331776796.181275,332449312.791377,161327154,"tenx_nextgem"
"128",1269999675.9566,1046004377.32422,333091765.736625,332748142.11338,333435744.214428,161802656,"tenx_nextgem"
"129",1279999673.40508,1054240632.26379,334062932.383226,333711610.565806,334414624.061972,162274410,"tenx_nextgem"
"130",1289999670.85356,1062476887.20335,335025561.895696,334666378.100697,335385131.188035,162742016,"tenx_nextgem"
"131",1299999668.30203,1070713142.14291,335977622.006727,335610411.363284,336345234.436444,163204489,"tenx_nextgem"
"132",1309999665.75051,1078949397.08247,336922336.922228,336546933.515066,337298159.075497,163663394,"tenx_nextgem"
"133",1319999663.19899,1087185652.02203,337859324.249621,337475561.167371,338243523.731185,164118545,"tenx_nextgem"
"134",1329999660.64747,1095421906.96159,338788330.494133,338396039.873864,339181075.883113,164569819,"tenx_nextgem"
"135",1339999658.09594,1103658161.90115,339711118.810817,339310131.88203,340112579.614393,165018073,"tenx_nextgem"
"136",1349999655.54442,1111894416.84071,340624616.622768,340214763.754376,341034963.236264,165461813,"tenx_nextgem"
"137",1359999652.9929,1120130671.78027,341529374.190464,341110484.931873,341948777.85192,165901308,"tenx_nextgem"
"138",1369999650.44138,1128366926.71983,342426443.279548,341998346.403131,342855076.026788,166337069,"tenx_nextgem"
"139",1379999647.88985,1136603181.65939,343316405.718995,342878929.26246,343754440.348207,166769377,"tenx_nextgem"
"140",1389999645.33833,1144839436.59895,344198484.91114,343751456.219928,344646094.937055,167197856,"tenx_nextgem"
"141",1399999642.78681,1153075691.53852,345073209.273143,344616455.040017,345530568.887778,167622762,"tenx_nextgem"
"142",1409999640.23528,1161311946.47808,345941052.315015,345474398.620086,346408336.34803,168044325,"tenx_nextgem"
"143",1419999637.68376,1169548201.41764,346801967.705775,346325240.05602,347279351.586221,168462523,"tenx_nextgem"
"144",1429999635.13224,1177784456.3572,347655842.449422,347168865.817167,348143502.167817,168877302,"tenx_nextgem"
"145",1439999632.58072,1186020711.29676,348502771.792738,348005370.653345,349000883.86338,169288706,"tenx_nextgem"
"146",1449999630.02919,1194256966.23632,349342880.002401,348834878.371032,349851621.426931,169696797,"tenx_nextgem"
